network,station_code,station_name,station_lat,station_lon,geos_lat_index,geos_lon_index,geos_grid_lat,geos_grid_lon,geos_distance_km,initialization_time,forecast_day,lead_hour,datetime_utc,datetime_local,observed_pm25,obs_n_obs,WIND,PS,Q500,Q850,QV10M,T10M,T500,T850,U10M,V10M,BCSMASS,DUSMASS25,OCSMASS,SO2SMASS,SO4SMASS,SSSMASS25,TOTEXTTAU,PM25,BC_MLPM25,GEOSPM25,NISMASS25
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-07-25 00:00:00,1,4,2021-07-25 04:30:00,2021-07-25 11:30:00,3.633333,3,1.991963028907776,93201.109375,0.0029220581054687,0.0154266487807035,0.0163581892848014,302.49822998046875,270.51507568359375,293.8609619140625,1.7395997047424316,0.9704171419143676,0.2592059969902038,5.333276748657227,1.9426807165145872,2.5866029262542725,2.295565366744995,1.542502999305725,0.2182894945144653,21.81381814213564,21.81381814213564,13.788213729858398,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-07-25 00:00:00,1,14,2021-07-25 13:30:00,2021-07-25 20:30:00,19.933333,3,0.950022041797638,93195.84375,0.0047302385792136,0.0149997193366289,0.018677532672882,298.73028564453125,270.6523742675781,292.6819152832031,0.4939011633396148,0.8115439414978027,0.2064558118581771,5.209585666656494,2.0591392517089844,4.351022720336914,1.857509970664978,0.964064359664917,0.1377772688865661,19.22169744949495,19.22169744949495,12.640632629394531,
AQMS,AQMS10,AQMS10,18.05336111,102.7633333,52,140,18.0,102.812,7.888797,2021-07-25 00:00:00,1,16,2021-07-25 16:30:00,2021-07-25 23:30:00,10.0,3,3.719505786895752,98255.3515625,0.0036850187461823,0.0141453444957733,0.0187690053135156,298.1640625,270.0382385253906,292.6575012207031,3.2062692642211914,1.8853542804718015,0.5538839101791382,7.697963237762451,5.129678249359131,4.53292179107666,1.4080358743667605,1.2223608493804932,0.1631868183612823,18.52204232711733,18.52204232711733,20.6436767578125,
AQMS,AQMS10,AQMS10,18.05336111,102.7633333,52,140,18.0,102.812,7.888797,2021-07-25 00:00:00,1,22,2021-07-25 22:30:00,2021-07-26 05:30:00,7.0,3,2.1761114597320557,98181.46875,0.0048905843868851,0.0147260436788201,0.018097698688507,297.179443359375,270.15338134765625,292.00164794921875,2.121824026107788,0.4830365180969238,0.6848711371421814,9.153154373168944,6.679421424865723,8.207280158996582,2.0883171558380127,1.877197265625,0.171881228685379,17.92910821983572,17.92910821983572,26.609615325927734,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-07-26 00:00:00,1,16,2021-07-26 16:30:00,2021-07-26 23:30:00,13.3,3,1.3960320949554443,93196.1015625,0.0056460262276232,0.0145477997139096,0.0167851969599723,297.26690673828125,271.98583984375,292.4574279785156,1.183635711669922,0.7402108907699585,0.2280821949243545,9.429640769958496,3.0559191703796387,6.060872554779053,3.133204698562622,1.0368239879608154,0.1413820534944534,24.366817105117107,24.366817105117107,20.50335693359375,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-07-27 00:00:00,1,2,2021-07-27 01:30:00,2021-07-27 08:30:00,11.266667,3,2.163942813873291,93250.3828125,0.0052795428782701,0.0142059326171875,0.0162975471466779,298.0173645019531,271.74749755859375,290.7656555175781,1.5807360410690308,1.477810025215149,0.1416538059711456,11.292285919189451,2.368324279785156,8.236384391784668,2.6811914443969727,0.2501110434532165,0.1293613612651825,19.66991061965812,19.66991061965812,19.6336727142334,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-07-27 00:00:00,1,8,2021-07-27 07:30:00,2021-07-27 14:30:00,3.633333,3,2.8229379653930664,92947.9453125,0.0048981215804815,0.0145722683519124,0.015503741800785,303.5666198730469,271.07073974609375,295.16400146484375,2.7828145027160645,0.4742593765258789,0.1159605830907821,6.330082893371582,0.8722054362297058,4.212779521942139,1.6807618141174316,0.4629327952861786,0.1288588941097259,16.544442401764904,16.544442401764904,10.789993286132812,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-07-27 00:00:00,1,14,2021-07-27 13:30:00,2021-07-27 20:30:00,24.566667,3,1.572218418121338,92933.4296875,0.0051729893311858,0.0150767406448721,0.0180674158036708,300.548583984375,270.82843017578125,294.72906494140625,0.638737142086029,1.436622977256775,0.1500673592090606,6.933987617492676,1.4551914930343628,6.410118579864502,2.4739022254943848,0.3888089954853058,0.1582053005695343,20.924702217782215,20.924702217782215,13.493824005126951,
AQMS,AQMS10,AQMS10,18.05336111,102.7633333,52,140,18.0,102.812,7.888797,2021-07-27 00:00:00,1,16,2021-07-27 16:30:00,2021-07-27 23:30:00,32.0,3,3.692354679107666,98143.1484375,0.0057303197681903,0.0145598864182829,0.0187081005424261,298.59783935546875,270.678955078125,292.77032470703125,3.475951671600342,1.2454888820648191,0.527508556842804,4.940375328063965,4.991306781768799,4.249159336090088,1.658954381942749,0.3365130722522735,0.1145492196083068,17.21519755272505,17.21519755272505,17.069812774658203,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-07-27 00:00:00,1,20,2021-07-27 19:30:00,2021-07-28 02:30:00,1.4,3,1.931301832199097,97805.484375,0.0058752838522195,0.0150949470698833,0.0180366318672895,298.3574523925781,270.8685302734375,292.7432556152344,1.9240168333053589,-0.1675886362791061,0.2705765962600708,5.748006820678711,2.7575881481170654,2.386514186859131,1.6389378309249878,1.0950316190719604,0.1446678042411804,12.776820076035076,12.776820076035076,14.330812454223633,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-07-28 00:00:00,1,4,2021-07-28 04:30:00,2021-07-28 11:30:00,12.4,3,3.657806873321533,97954.1953125,0.0060043353587388,0.0139770554378628,0.0185549519956111,302.459228515625,270.542236328125,293.0439453125,3.5487029552459717,-0.8867129683494568,0.1507487446069717,4.831235885620117,1.2514647245407104,0.8030838370323181,1.0204566717147827,1.3915269374847412,0.1566288620233535,12.194269625097125,12.194269625097125,10.02927589416504,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-07-28 00:00:00,1,4,2021-07-28 04:30:00,2021-07-28 11:30:00,5.566667,3,3.175318956375122,93154.1953125,0.0053634662181138,0.0148925827816128,0.0157778523862361,302.896728515625,270.573486328125,294.1064453125,2.2127654552459717,2.2773494720458984,0.089357852935791,5.682522773742676,0.8167262673377991,5.202309608459473,1.662559986114502,0.0658246800303459,0.1651737838983535,24.5733568939394,24.5733568939394,9.593832015991213,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-07-29 00:00:00,1,10,2021-07-29 10:30:00,2021-07-29 17:30:00,7.466667,3,2.083707571029663,97854.7421875,0.0059662037529051,0.0142365535721182,0.0191654171794652,300.74554443359375,269.9822082519531,293.7305908203125,1.90537691116333,0.8434308171272278,0.3265086710453033,8.294591903686523,2.590240955352783,1.866283178329468,2.0055859088897705,2.881279230117798,0.2136223316192627,14.865547883227883,14.865547883227883,18.92249298095703,
AQMS,AQMS10,AQMS10,18.05336111,102.7633333,52,140,18.0,102.812,7.888797,2021-07-29 00:00:00,1,16,2021-07-29 16:30:00,2021-07-29 23:30:00,49.666667,3,3.1219329833984375,98369.7421875,0.0055847917683422,0.0152437696233391,0.0183718930929899,298.0033874511719,271.21435546875,292.4085388183594,2.6161201000213623,1.7036375999450684,0.550244927406311,3.885361433029175,5.071345806121826,3.798049926757813,1.342436671257019,1.846274495124817,0.2241377085447311,18.406111529859036,18.406111529859036,17.256153106689453,
AQMS,AQMS10,AQMS10,18.05336111,102.7633333,52,140,18.0,102.812,7.888797,2021-07-30 00:00:00,1,2,2021-07-30 01:30:00,2021-07-30 08:30:00,15.333333,3,2.2724192142486572,98445.4921875,0.0060043334960937,0.01318359375,0.018402811139822,298.65509033203125,270.17047119140625,293.4261779785156,2.259681224822998,0.2402712702751159,0.813997745513916,5.842594146728516,9.036739349365234,12.922101020812988,2.1173133850097656,2.2591848373413086,0.1393426656723022,18.509605954184703,18.509605954184703,28.093212127685547,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-07-30 00:00:00,1,14,2021-07-30 13:30:00,2021-07-30 20:30:00,992.533333,3,3.675021171569824,97992.15625,0.0047228038311004,0.0141908172518014,0.0194708574563264,300.8941650390625,271.3958740234375,293.87274169921875,2.4466559886932373,2.742199182510376,0.335148811340332,4.53292179107666,3.1177477836608887,1.6934791803359983,1.326087474822998,2.073648452758789,0.1943888962268829,13.134799922299925,13.134799922299925,14.377035140991213,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-07-30 00:00:00,1,16,2021-07-30 16:30:00,2021-07-30 23:30:00,992.6,3,3.020540237426758,98120.25,0.0050433678552508,0.0144503274932503,0.0187387391924858,299.1774597167969,270.55767822265625,293.7611999511719,2.8724160194396973,0.9342859983444214,0.3014977276325226,4.190952301025391,3.1104726791381836,1.9390426874160769,1.1423547267913818,1.7535076141357422,0.1614439338445663,12.512466226551227,12.512466226551227,13.415546417236328,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-07-31 00:00:00,1,8,2021-07-31 07:30:00,2021-07-31 14:30:00,992.466667,3,3.4749698638916016,97933.6640625,0.0054779225029051,0.0156860426068305,0.0186469126492738,304.3422546386719,270.11590576171875,292.8468017578125,3.380966901779175,0.8027940988540649,0.1507487446069717,3.674358606338501,1.1677912473678589,0.7121343612670898,0.921320915222168,1.3715180158615112,0.1531486362218856,11.39490329143079,11.39490329143079,8.565465927124023,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-07-31 00:00:00,1,20,2021-07-31 19:30:00,2021-08-01 02:30:00,992.6,3,2.136040210723877,97931.2109375,0.0055924258194863,0.0146979186683893,0.0182497538626194,298.3517761230469,270.47314453125,292.86749267578125,2.1092188358306885,0.3374371528625488,0.3037867844104767,6.250057697296143,3.281473159790039,2.38287615776062,1.2297550439834597,1.6898460388183594,0.2321950048208236,14.247198874736377,14.247198874736377,15.84125518798828,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2021-07-31 00:00:00,1,22,2021-07-31 22:30:00,2021-08-01 05:30:00,992.666667,3,1.710031509399414,97969.546875,0.0057298908941447,0.0136602651327848,0.0179140288382768,298.0148010253906,270.48095703125,293.0522766113281,1.6998639106750488,0.1861995458602905,0.4052180349826813,7.225045680999756,4.190986633300781,3.5397534370422363,1.9828094244003296,2.619351863861084,0.2207774072885513,17.00022818931069,17.00022818931069,20.51975440979004,
AQMS,AQMS07,AQMS07,19.90894444,102.1782222,60,138,20.0,102.188,10.171261,2021-07-31 00:00:00,1,22,2021-07-31 22:30:00,2021-08-01 05:30:00,7.2,3,1.36722731590271,93169.546875,0.0056993733160197,0.0151098500937223,0.0176393706351518,296.8273010253906,270.85595703125,292.2710266113281,0.740879476070404,1.1490901708602903,0.3201802670955658,4.038176536560059,4.605716228485107,12.06353759765625,3.037823438644409,0.7476117610931396,0.1887949854135513,30.872898275613277,30.872898275613277,17.573265075683594,
