location_id,location_name,sensor_id,sensor_name,latitude,longitude,country,provider,owner,instruments,monitor
225643,Bangkok University Rangsit Campus,1304380,pm25 µg/m³,14.03742,100.605216,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225643,Bangkok University Rangsit Campus,16312591,pm25 µg/m³,14.03742,100.605216,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225644,Suphan Buri Provincial Central Stadium,1304240,pm25 µg/m³,14.476214,100.086095,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225644,Suphan Buri Provincial Central Stadium,16312917,pm25 µg/m³,14.476214,100.086095,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225645,National Housing Authority Bangplee,1304420,pm25 µg/m³,13.5705,100.7862867,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225646,Provincial Waterworks Authority Mae Moh,16312858,pm25 µg/m³,18.2826333,99.6598166,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225646,Provincial Waterworks Authority Mae Moh,1304316,pm25 µg/m³,18.2826333,99.6598166,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225647,"Phra Nakhon District Office, Bangkok",1304340,pm25 µg/m³,13.76415,100.499077,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225648,"Natural Resources and Environment Office, Mae Hongson",16312786,pm25 µg/m³,19.30455,97.97165,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225648,"Natural Resources and Environment Office, Mae Hongson",1304178,pm25 µg/m³,19.30455,97.97165,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225649,"OTOP Center, Ubon Ratchathani",16312810,pm25 µg/m³,15.245413,104.846219,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225649,"OTOP Center, Ubon Ratchathani",1304375,pm25 µg/m³,15.245413,104.846219,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225650,The Government Public Relations Department,1304152,pm25 µg/m³,13.783185,100.540489,TH,Air4Thai,Unknown Governmental Organization,Government Monitor,True
225651,"Saphan Sung District Office, Bangkok",1304179,pm25 µg/m³,13.768892,100.685743,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225651,"Saphan Sung District Office, Bangkok",16312888,pm25 µg/m³,13.768892,100.685743,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
225652,Public Park to commemorate the sixth anniversary of His Majesty the King,1304082,pm25 µg/m³,13.697252,100.497185,TH,Air4Thai,Unknown Governmental Organization,Government Monitor; Government Monitor,True
