network,station_code,initialization_time_utc,datetime_utc,observed_pm25,obs_n_obs,GEOSPM25,forecast_day,station_name
Lao PDR AQMS,AQMS06,2020-02-09 00:00:00+00:00,2020-02-09 22:30:00+00:00,9.966667,3,40.96672439575195,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-09 00:00:00+00:00,2020-02-09 22:30:00+00:00,11.666667,3,41.34735107421875,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-10 00:00:00+00:00,2020-02-10 01:30:00+00:00,15.166667,3,32.912269592285156,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-10 00:00:00+00:00,2020-02-10 01:30:00+00:00,34.266667,3,33.09153366088867,1,Xaythany
Lao PDR AQMS,AQMS09,2020-02-10 00:00:00+00:00,2020-02-10 04:30:00+00:00,19.666667,3,16.874170303344727,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-10 00:00:00+00:00,2020-02-10 07:30:00+00:00,17.233333,3,10.849103927612305,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-10 00:00:00+00:00,2020-02-10 07:30:00+00:00,14.633333,3,16.082473754882812,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-10 00:00:00+00:00,2020-02-10 10:30:00+00:00,10.466667,3,11.578662872314451,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-10 00:00:00+00:00,2020-02-10 10:30:00+00:00,13.6,3,12.284066200256348,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-10 00:00:00+00:00,2020-02-10 13:30:00+00:00,27.166667,3,16.846410751342773,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-10 00:00:00+00:00,2020-02-10 13:30:00+00:00,31.033333,3,15.666409492492676,1,Xaythany
Lao PDR AQMS,AQMS09,2020-02-10 00:00:00+00:00,2020-02-10 16:30:00+00:00,44.866667,3,20.550634384155273,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-10 00:00:00+00:00,2020-02-10 19:30:00+00:00,34.033333,3,23.87843894958496,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-10 00:00:00+00:00,2020-02-10 19:30:00+00:00,25.1,3,22.571359634399418,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-10 00:00:00+00:00,2020-02-10 22:30:00+00:00,23.133333,3,28.47596549987793,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-10 00:00:00+00:00,2020-02-10 22:30:00+00:00,20.733333,3,33.81038284301758,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-11 00:00:00+00:00,2020-02-11 01:30:00+00:00,34.266667,3,26.76827049255371,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-11 00:00:00+00:00,2020-02-11 01:30:00+00:00,63.2,3,25.60666275024414,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-11 00:00:00+00:00,2020-02-11 04:30:00+00:00,25.0,3,15.349885940551758,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-11 00:00:00+00:00,2020-02-11 04:30:00+00:00,35.166667,3,15.94642162322998,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-11 00:00:00+00:00,2020-02-11 07:30:00+00:00,14.933333,3,17.714820861816406,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-11 00:00:00+00:00,2020-02-11 07:30:00+00:00,21.966667,3,17.288223266601562,1,Xaythany
Lao PDR AQMS,AQMS09,2020-02-11 00:00:00+00:00,2020-02-11 10:30:00+00:00,25.8,3,17.55224609375,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-11 00:00:00+00:00,2020-02-11 13:30:00+00:00,51.266667,3,21.62289810180664,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-11 00:00:00+00:00,2020-02-11 13:30:00+00:00,42.666667,3,21.48237991333008,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-11 00:00:00+00:00,2020-02-11 16:30:00+00:00,82.533333,3,26.053606033325195,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-11 00:00:00+00:00,2020-02-11 16:30:00+00:00,82.966667,3,31.640039443969727,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-11 00:00:00+00:00,2020-02-11 19:30:00+00:00,114.466667,3,46.90094375610352,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-11 00:00:00+00:00,2020-02-11 19:30:00+00:00,86.133333,3,48.507286071777344,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-11 00:00:00+00:00,2020-02-11 22:30:00+00:00,58.3,3,65.11279296875,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-11 00:00:00+00:00,2020-02-11 22:30:00+00:00,70.166667,3,54.10776901245117,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-12 00:00:00+00:00,2020-02-12 01:30:00+00:00,44.3,3,62.782901763916016,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-12 00:00:00+00:00,2020-02-12 01:30:00+00:00,70.533333,3,53.45570755004883,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-12 00:00:00+00:00,2020-02-12 04:30:00+00:00,50.866667,3,27.790212631225582,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-12 00:00:00+00:00,2020-02-12 04:30:00+00:00,52.966667,3,24.25755500793457,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-12 00:00:00+00:00,2020-02-12 07:30:00+00:00,48.0,3,25.897966384887695,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-12 00:00:00+00:00,2020-02-12 07:30:00+00:00,51.1,3,23.125736236572266,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-12 00:00:00+00:00,2020-02-12 10:30:00+00:00,54.733333,3,28.583154678344727,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-12 00:00:00+00:00,2020-02-12 10:30:00+00:00,54.933333,3,24.57392120361328,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-12 00:00:00+00:00,2020-02-12 13:30:00+00:00,65.833333,3,32.135528564453125,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-12 00:00:00+00:00,2020-02-12 13:30:00+00:00,88.233333,3,29.453155517578125,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-12 00:00:00+00:00,2020-02-12 16:30:00+00:00,117.7,3,34.083770751953125,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-12 00:00:00+00:00,2020-02-12 16:30:00+00:00,123.2,3,32.409393310546875,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-12 00:00:00+00:00,2020-02-12 19:30:00+00:00,60.633333,3,39.08091354370117,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-12 00:00:00+00:00,2020-02-12 19:30:00+00:00,70.433333,3,36.2600212097168,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-12 00:00:00+00:00,2020-02-12 22:30:00+00:00,52.033333,3,41.13288497924805,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-12 00:00:00+00:00,2020-02-12 22:30:00+00:00,63.4,3,34.77278518676758,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-13 00:00:00+00:00,2020-02-13 01:30:00+00:00,64.933333,3,60.318695068359375,1,Vientiane
