path,size_bytes,sha256,source,training_purpose,redistribution_status
data/module2/pcd/th12t.csv,11812,4efaaf3f8691cad845c713d7b5afd95bd3b292bafd19efa5a7da5dc9d62a2174,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th13t.csv,15665,6c5a3c6d1c8cd3e54dfa47c969eba1d9661306789a28adabe8547c017444f567,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th14t.csv,12811,8139b2d7393228cd551c07399c0ca92f72ad49b5d31a61ebdd56fa6f8e897b66,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th16t.csv,12478,945139002d101cb2cce461acdb2c9a42198741bc3588f6790b00e365c750d9e8,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th17t.csv,15659,f43a80c8b89f844b00df0f4f6f1f1e83956eef23f9183e7a1e16927949f1be15,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th18t.csv,12018,48cb6446aa1ad97980e4aebb7cba7cfd308970caca86b13220b089db260d188d,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th19t.csv,14152,c75fec8811d4d374e883381ae0ec50f3f33541afe8fda267cca1320b52545804,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th20t.csv,13817,2cdf059ef16e453b89d69d9870d6349204f6ef923e698fc10491cb76f435e839,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th21t.csv,12985,52026faf723712be9985432113120423a5523a7f9b2b2d35b2fe11d871701e31,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th22t.csv,14487,9fb4e6db6e6ae21663ebd39b8c103bc4793ece8ce21d82b578182d3d00ffb5d7,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th24t.csv,12494,decda09e0862b3aca26855e36899c2df2b507a52edcb37aabdca84096648fc1f,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th25t.csv,11804,f12ad967eb85e9d0ea173b36895bedd36efa611e0067a0dfc300350d6294aa2c,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th26t.csv,13629,7d42e4a5062431de68640d7dc7c2c5e97ade60e09dc5cc27816961fdcffec404,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th27t.csv,13386,5cdcae4538749bd51a4f19d77cba57d40f40e524fbb4eb167caeb034b01bb60b,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th28t.csv,13648,7db559ec62335c9071a5a0df633b8400b15b328d830650e8ad4f3381afcbeb9a,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th29t.csv,13811,7a0d47e0eab2fe75f750650db4c26360398993bf334744f89e4e7a78397905a8,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th30t.csv,12639,4a4d66de424b04f4d2a184d94c1536be634fc2c00abc61d01790af913e3e972c,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th31t.csv,13640,f179adc2bf6a513cd1ef2c447cf7ab8f0c9144b2baa235f22924e34ae23dac97,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th32t.csv,13313,d819f3aa265c07a96bb147cf0e611422f0f2efb3b80183212517d6f89d22549a,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th33t.csv,14320,26bf7eca348f2fea0e40a45e392678b870cbc3bd2261631e671dfa92ea7dead7,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th34t.csv,14656,8d2787f3f1ff3f9d231c46306432dffedc7c021ee5c33ff68d096117c4c35c92,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th35t.csv,11301,441f2fd13d1b7d9b4bb39451a26cba1578b089479490a61997a1e28748d5d128,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th36t.csv,12808,6e2ddc46ca30754e91d4dbd015e60d063248dbee3e3433e1b162f3a88ddc53ed,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th37t.csv,13152,f7ce5c8b8ad5cdaa6ea75e0324d332df8bd5f07b8e379bfaf1d4c2f879fbdfd5,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th38t.csv,14984,61c4055daa956910bbed81f967ce952f61e02858af680e21ba3b14f34970c832,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th39t.csv,13483,e90bd3d8b2cf1dd8cdc243985eb8e756c3e5ccbe61e83c17b952598644bcc283,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th40t.csv,14323,a19faaa4fef2cbb88833657bc6965ff13e43ee8bcd38c3d5bd5e1c539b088649,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th41t.csv,13330,a516d31d4323bd18a197d7b0ceedf5df36cc1ade5beac61ce43732f8fffba5b6,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th42t.csv,17158,d730f5dbb0788eb336b9a1e489fdd35ce9689952a11bdb260bb38404800c784e,Thai PCD,Ground-station QA/QC,confirm before public release
data/module2/pcd/th43t.csv,12977,8cf8a6311fa361b368b603015170d283c739d6d99c1b246020adff2ffa6b4b1d,Thai PCD,Ground-station QA/QC,confirm before public release
